run_id,core,seed,sample,round,phase,position,label,bytes,accesses,start,salt,elapsed_ns,cpu_before,cpu_after,result,expected
2,E,20260918,88,0,warmup,88,stride_1_double,24576,131072,1226,17417760956309064129,292471,19,19,8094754776660849394,8094754776660849394
2,E,20260918,89,0,warmup,89,stride_1_double,1048576,131072,36041,1368719908238175178,296159,19,19,3405496913072505187,3405496913072505187
2,E,20260918,90,0,warmup,90,stride_1_bis,32768,65536,4056,1768605165063903466,151286,19,19,9885780910862425536,9885780910862425536
2,E,20260918,91,0,warmup,91,stride_1,4096,65536,98,6479076588155446616,146269,19,19,12038877257683673088,12038877257683673088
2,E,20260918,92,0,warmup,92,stride_1_double,786432,131072,8076,9616632392149445716,294288,19,19,3082897099653101224,3082897099653101224
2,E,20260918,93,0,warmup,93,stride_1_bis,24576,65536,911,4899315202270503465,139546,19,19,15877464763611291313,15877464763611291313
2,E,20260918,94,0,warmup,94,stride_4097,12288,65536,762,3540026433771948912,138952,19,19,6663620842791395861,6663620842791395861
2,E,20260918,95,0,warmup,95,stride_1,8388608,65536,879368,1240021169464553173,153806,19,19,13329997383008354819,13329997383008354819
2,E,20260918,96,0,warmup,96,stride_513,49152,65536,5184,17881848714973779386,147727,19,19,15598242645288676128,15598242645288676128
2,E,20260918,97,0,warmup,97,random,786432,65536,92530,8526200180120708727,143628,19,19,14890605268456579037,14890605268456579037
2,E,20260918,98,0,warmup,98,stride_513,1048576,65536,41801,10683276194239279078,142981,19,19,4813804202526018398,4813804202526018398
2,E,20260918,99,0,warmup,99,stride_1_bis,6291456,65536,511147,13263979628290977196,151350,19,19,8175523693079537989,8175523693079537989
2,E,20260918,100,0,warmup,100,stride_1,12582912,65536,1352341,2044641745349951541,158252,19,19,12567699640240373249,12567699640240373249
2,E,20260918,101,0,warmup,101,stride_17,8192,65536,982,2838120015696864487,153521,19,19,17301109628318919744,17301109628318919744
2,E,20260918,102,0,warmup,102,stride_1_double,4194304,131072,348311,11811111302459593923,347512,19,19,7634311448968916755,7634311448968916755
2,E,20260918,103,0,warmup,103,pair_same_line,1572864,65536,46374,7643859297067976471,415767,19,19,5576119524193853414,5576119524193853414
2,E,20260918,104,0,warmup,104,stride_513,16384,65536,1299,3134213322737929111,163547,19,19,596753317960570688,596753317960570688
2,E,20260918,105,0,warmup,105,random,12288,65536,126,993237206772666933,151205,19,19,3056011531811941623,3056011531811941623
2,E,20260918,106,0,warmup,106,stride_1_bis,196608,65536,23089,6946362520662120849,158730,19,19,12817242435547940865,12817242435547940865
2,E,20260918,107,0,warmup,107,stride_4097,24576,65536,1079,16130270594855013647,156951,19,19,258763725878008343,258763725878008343
2,E,20260918,108,0,warmup,108,stride_4097,2097152,65536,238772,10872300493106940387,216881,19,19,11626583424122194454,11626583424122194454
2,E,20260918,109,0,warmup,109,pair_same_line,6144,65536,440,15219112914607002329,191742,19,19,2965369083514621313,2965369083514621313
2,E,20260918,110,0,warmup,110,stride_4097,12582912,65536,1020456,12210254880472440402,557549,19,19,1618015219566046056,1618015219566046056
2,E,20260918,111,0,warmup,111,pair_split_line,32768,65536,1202,6535759971423184333,190873,19,19,10016480330673129266,10016480330673129266
2,E,20260918,112,0,warmup,112,stride_1_bis,8192,65536,433,7249031807803686930,146292,19,19,17301109628318919744,17301109628318919744
2,E,20260918,113,0,warmup,113,stride_17,1048576,65536,127430,5272409160738466881,162615,19,19,485740020203851411,485740020203851411
2,E,20260918,114,0,warmup,114,stride_1_bis,131072,65536,13000,3902234798202531360,146300,19,19,11433881829531298912,11433881829531298912
2,E,20260918,115,0,warmup,115,stride_1_double,8192,131072,634,15700247278106453059,297699,19,19,16155475182928287872,16155475182928287872
2,E,20260918,116,0,warmup,116,stride_513,196608,65536,16522,2485611750895228719,145221,19,19,1296898014728222136,1296898014728222136
2,E,20260918,117,0,warmup,117,stride_1,16777216,65536,495477,8433618685445239090,150154,19,19,5626231296266758244,5626231296266758244
2,E,20260918,118,0,warmup,118,stride_4097,98304,65536,7355,16338424319513900601,143315,19,19,11528017575042260613,11528017575042260613
2,E,20260918,119,0,warmup,119,random,2097152,65536,37592,6853055986858332391,644799,19,19,18347752648025775615,18347752648025775615
2,E,20260918,120,0,warmup,120,random,131072,65536,3887,1468684298296225652,132843,19,19,610468132913255141,610468132913255141
2,E,20260918,121,0,warmup,121,stride_513,4194304,65536,229240,4580293429087480211,303101,19,19,14545295165391837325,14545295165391837325
2,E,20260918,122,0,warmup,122,stride_1_bis,4194304,65536,169995,11156031586247464523,151025,19,19,8125003733030049429,8125003733030049429
2,E,20260918,123,0,warmup,123,stride_513,12288,65536,9,12778382342514200180,150647,19,19,16515403797586796672,16515403797586796672
2,E,20260918,124,0,warmup,124,random,1048576,65536,95125,11397396920222093519,172293,19,19,17245648811924811932,17245648811924811932
2,E,20260918,125,0,warmup,125,stride_1_bis,1572864,65536,108253,3075575319784223160,146501,19,19,9376962633462361417,9376962633462361417
2,E,20260918,126,0,warmup,126,pair_same_line,8388608,65536,221093,7376945413664029248,1119331,19,19,9004862825486571935,9004862825486571935
2,E,20260918,127,0,warmup,127,random,6291456,65536,226449,8446102887735673916,670412,19,19,5943012378190063946,5943012378190063946
2,E,20260918,128,0,warmup,128,pair_same_line,393216,65536,11462,4720012714553426427,210868,19,19,4777996549486306059,4777996549486306059
2,E,20260918,129,0,warmup,129,pair_split_line,786432,65536,98167,15993511710468568915,239159,19,19,17983418917831912678,17983418917831912678
2,E,20260918,130,0,warmup,130,stride_513,24576,65536,2565,1303618462021678938,139129,19,19,7897218511699156928,7897218511699156928
2,E,20260918,131,0,warmup,131,stride_17,24576,65536,3023,20593643352438110,138612,19,19,9755834363274408622,9755834363274408622
2,E,20260918,132,0,warmup,132,stride_513,98304,65536,4597,11349656805922942424,153639,19,19,5863982100874451440,5863982100874451440
