run_id,build,seed,sample,round,phase,position,part,label,dataset,n,calls,elapsed_ns,cpu_before,cpu_after,result,expected,output_ok
10,gcc-O3-v3,20260917,78,1,measure,25,small,sum_one,uniform,2,131072,534251,11,11,17457440730979500032,17457440730979500032,1
10,gcc-O3-v3,20260917,79,1,measure,26,small,sum_one,uniform,24,10922,54819,11,11,4784551985712019594,4784551985712019594,1
10,gcc-O3-v3,20260917,80,1,measure,27,small,sum_one,uniform,48,5461,52588,11,11,12243521522999887564,12243521522999887564,1
10,gcc-O3-v3,20260917,81,1,measure,28,small,sum_one,uniform,3,87381,280292,11,11,3476548407154350276,3476548407154350276,1
10,gcc-O3-v3,20260917,82,1,measure,29,branch,filter_copy,p000,65536,1,26385,11,11,0,0,1
10,gcc-O3-v3,20260917,83,1,measure,30,small,sum_one,uniform,32,8192,49367,11,11,15017784333397745664,15017784333397745664,1
10,gcc-O3-v3,20260917,84,1,measure,31,branch,filter_copy_mask,p500_sorted,65536,1,32904,11,11,32768,32768,1
10,gcc-O3-v3,20260917,85,1,measure,32,small,sum_one,uniform,1024,256,27759,11,11,1528441778664102656,1528441778664102656,1
10,gcc-O3-v3,20260917,86,1,measure,33,branch,sum_if,p100,65536,1,13110,11,11,3083979731501324985,3083979731501324985,1
10,gcc-O3-v3,20260917,87,1,measure,34,branch,filter_copy_mask,p1000,65536,1,27940,11,11,65536,65536,1
10,gcc-O3-v3,20260917,88,1,measure,35,branch,filter_copy_mask,p750,65536,1,29443,11,11,49152,49152,1
10,gcc-O3-v3,20260917,89,1,measure,36,small,sum_one,uniform,96,2730,34029,11,11,14590989637268500264,14590989637268500264,1
10,gcc-O3-v3,20260917,90,1,measure,37,branch,filter_copy,p750,65536,1,272394,11,11,49152,49152,1
10,gcc-O3-v3,20260917,91,1,measure,38,dependency,split_xor_mul,uniform,65536,16,350193,11,11,2077595927113443008,2077595927113443008,1
10,gcc-O3-v3,20260917,92,1,measure,39,dependency,chain_xor_mul,uniform,65536,16,1704586,11,11,10548315203952146112,10548315203952146112,1
10,gcc-O3-v3,20260917,93,1,measure,40,dependency,sum_four,uniform,65536,16,158706,11,11,14132741898501648928,14132741898501648928,1
10,gcc-O3-v3,20260917,94,1,measure,41,branch,sum_if,p1000,65536,1,14353,11,11,4485739283943968327,4485739283943968327,1
