protocol,mode,prime,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,114,38,measure,0,A_bis,20000,1,200541,21,21,7110043883212363245
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,115,38,measure,1,B,20000,2,401022,21,21,7917596331880661901
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,116,38,measure,2,A,20000,1,200537,21,21,14985736153581276808
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,117,39,measure,0,A,20000,1,206512,21,21,2177434412543782191
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,118,39,measure,1,A_bis,20000,1,200518,21,21,4818499695234839502
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,119,39,measure,2,B,20000,2,401040,21,21,16984941823868985875
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,120,40,measure,0,A,20000,1,200522,21,21,14861610072817244745
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,121,40,measure,1,B,20000,2,407497,21,21,15472955765447677498
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,122,40,measure,2,A_bis,20000,1,200539,21,21,10521856288797008155
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,123,41,measure,0,A,20000,1,200519,21,21,12890322218523756868
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,124,41,measure,1,A_bis,20000,1,200518,21,21,83639805729210740
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,125,41,measure,2,B,20000,2,406378,21,21,9677536550635470887
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,126,42,measure,0,A_bis,20000,1,200516,21,21,6503190674951576321
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,127,42,measure,1,A,20000,1,200522,21,21,5687182702941882924
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,128,42,measure,2,B,20000,2,406041,21,21,1274285298182098321
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,129,43,measure,0,A_bis,20000,1,200512,21,21,14745071549074303634
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,130,43,measure,1,A,20000,1,200529,21,21,11179580466563304120
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,131,43,measure,2,B,20000,2,401036,21,21,6672270474037233953
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,132,44,measure,0,B,20000,2,405786,21,21,7526850874843731850
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,133,44,measure,1,A,20000,1,200645,21,21,7049081886580273601
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,134,44,measure,2,A_bis,20000,1,200511,21,21,6056872243089135397
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,135,45,measure,0,B,20000,2,406133,21,21,2002210442941598110
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,136,45,measure,1,A_bis,20000,1,200525,21,21,5045441372473092832
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,137,45,measure,2,A,20000,1,200512,21,21,3128690092096149800
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,138,46,measure,0,A,20000,1,200538,21,21,5529274571170354631
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,139,46,measure,1,B,20000,2,407637,21,21,3663258823906637988
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,140,46,measure,2,A_bis,20000,1,200515,21,21,3854731700962485222
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,141,47,measure,0,A_bis,20000,1,200537,21,21,3437786918459835481
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,142,47,measure,1,B,20000,2,401022,21,21,654428878672743719
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,143,47,measure,2,A,20000,1,206210,21,21,12031320136485372534
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,144,48,measure,0,A,20000,1,200540,21,21,15643719787926555433
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,145,48,measure,1,B,20000,2,401019,21,21,8379473785499278114
interleaved,interleaved,none,72,20260988,LP-E,1,0,10,146,48,measure,2,A_bis,20000,1,200708,21,21,15438106953740853285
