compiler,level,label,n,processes,calls_per_sample,median_ns_per_element,ci95_low,ci95_high,q25_ns_per_element,q75_ns_per_element,between_process_relative_iqr,median_ns_per_call,median_throughput_elements_per_s
gcc,O1,sum_array_twice,262144,15,16,0.876873,0.870563,0.916966,0.871864,0.906571,0.0396,229866.875,1140416600
gcc,O1,sum_array_twice,1048576,15,4,1.312786,1.225969,1.668064,1.262272,1.728812,0.3554,1376555.750,761738854
gcc,O1,sum_array_twice,4194304,15,1,1.558508,1.470728,1.645632,1.476856,1.645253,0.1081,6536855.000,641639443
gcc,O1,sum_discarded,64,15,65536,0.586603,0.580369,0.596308,0.575710,0.595981,0.0346,37.543,1704731364
gcc,O1,sum_discarded,256,15,16384,0.294354,0.290823,0.298505,0.288704,0.299051,0.0352,75.355,3397264890
gcc,O1,sum_discarded,1024,15,4096,0.224866,0.224337,0.225420,0.224215,0.225721,0.0067,230.263,4447085218
gcc,O1,sum_discarded,4096,15,1024,0.208825,0.208588,0.209311,0.208543,0.209329,0.0038,855.346,4788707051
gcc,O1,sum_discarded,16384,15,256,0.204674,0.204504,0.204691,0.204480,0.204754,0.0013,3353.383,4885812601
gcc,O1,sum_discarded,65536,15,64,0.203662,0.203540,0.203787,0.203539,0.203798,0.0013,13347.172,4910103849
gcc,O1,sum_discarded,262144,15,16,0.203427,0.203333,0.203458,0.203324,0.203475,0.0007,53327.125,4915772227
gcc,O1,sum_discarded,1048576,15,4,0.203429,0.203146,0.203562,0.203236,0.203566,0.0016,213310.250,4915731898
gcc,O1,sum_discarded,4194304,15,1,0.203406,0.203227,0.203482,0.203246,0.203453,0.0010,853146.000,4916279277
gcc,O1,sum_indices,64,15,65536,0.573426,0.569276,0.573786,0.569318,0.573870,0.0079,36.699,1743904883
gcc,O1,sum_indices,256,15,16384,0.393557,0.392819,0.393719,0.392879,0.393773,0.0023,100.750,2540930614
gcc,O1,sum_indices,1024,15,4096,0.409060,0.408427,0.409247,0.408298,0.409299,0.0024,418.877,2444629142
gcc,O1,sum_indices,4096,15,1024,0.411941,0.410993,0.412127,0.411067,0.412117,0.0026,1687.312,2427530390
gcc,O1,sum_indices,16384,15,256,0.412651,0.411902,0.412918,0.411847,0.412817,0.0024,6760.879,2423353565
