core,pages,label,bytes,processes,median_ns_per_access,ci95_low,ci95_high
P,2m,chase_random_double,131072,8,7.348,7.095,7.901
P,2m,chase_random_double,262144,8,9.316,8.645,9.731
P,2m,chase_random_double,524288,8,12.267,11.806,12.661
P,2m,chase_random_double,1048576,8,15.684,15.085,16.377
P,2m,chase_random_double,2097152,8,31.992,31.371,32.861
P,2m,chase_random_double,4194304,8,178.145,170.539,183.560
P,2m,chase_random_double,8388608,8,267.598,260.926,274.857
P,2m,chase_random_double,16777216,8,342.705,334.117,348.115
P,2m,chase_random_double,33554432,8,371.629,360.183,375.734
P,2m,chase_random_double,67108864,8,379.038,375.679,388.686
P,2m,chase_random_double,134217728,8,404.792,397.148,409.485
P,2m,chase_random_double,268435456,8,408.370,407.380,411.055
P,2m,chase_sequential,4096,8,2.765,2.636,3.658
P,2m,chase_sequential,8192,8,3.324,2.726,5.327
P,2m,chase_sequential,16384,8,3.042,2.650,4.553
P,2m,chase_sequential,32768,8,3.372,2.757,3.732
P,2m,chase_sequential,65536,8,2.889,2.652,3.484
P,2m,chase_sequential,131072,8,2.835,2.718,3.340
P,2m,chase_sequential,262144,8,2.885,2.799,3.509
P,2m,chase_sequential,524288,8,3.209,2.942,3.616
P,2m,chase_sequential,1048576,8,3.462,3.191,4.865
P,2m,chase_sequential,2097152,8,4.173,3.906,4.289
P,2m,chase_sequential,4194304,8,3.994,3.799,4.155
P,2m,chase_sequential,8388608,8,4.218,4.105,4.769
P,2m,chase_sequential,16777216,8,3.894,3.806,4.093
P,2m,chase_sequential,33554432,8,3.876,3.857,3.938
P,2m,chase_sequential,67108864,8,4.369,3.853,5.961
P,2m,chase_sequential,134217728,8,3.935,3.814,4.038
P,2m,chase_sequential,268435456,8,4.103,3.812,4.138
P,2m,independent_random,4096,8,1.578,1.388,1.841
P,2m,independent_random,8192,8,1.462,1.391,1.631
P,2m,independent_random,16384,8,1.546,1.393,1.666
P,2m,independent_random,32768,8,1.420,1.360,1.566
P,2m,independent_random,65536,8,1.588,1.437,1.712
P,2m,independent_random,131072,8,1.573,1.453,1.739
P,2m,independent_random,262144,8,1.584,1.502,2.166
P,2m,independent_random,524288,8,1.709,1.631,1.893
P,2m,independent_random,1048576,8,2.436,2.082,2.774
P,2m,independent_random,2097152,8,3.388,2.906,3.865
P,2m,independent_random,4194304,8,9.675,9.190,10.775
P,2m,independent_random,8388608,8,14.261,13.665,14.592
P,2m,independent_random,16777216,8,15.470,15.360,16.183
P,2m,independent_random,33554432,8,17.154,16.841,17.389
P,2m,independent_random,67108864,8,18.537,18.085,18.984
P,2m,independent_random,134217728,8,19.310,18.750,20.283
P,2m,independent_random,268435456,8,20.045,18.502,20.300
P,2m,independent_random_bis,4096,8,1.647,1.392,2.425
P,2m,independent_random_bis,8192,8,1.409,1.342,1.638
P,2m,independent_random_bis,16384,8,1.436,1.339,2.149
P,2m,independent_random_bis,32768,8,1.707,1.390,1.854
P,2m,independent_random_bis,65536,8,1.424,1.399,1.837
P,2m,independent_random_bis,131072,8,1.823,1.425,2.529
P,2m,independent_random_bis,262144,8,1.625,1.535,1.896
P,2m,independent_random_bis,524288,8,1.760,1.688,2.209
P,2m,independent_random_bis,1048576,8,2.106,2.011,2.497
P,2m,independent_random_bis,2097152,8,3.569,3.101,3.955
P,2m,independent_random_bis,4194304,8,10.572,9.201,10.847
P,2m,independent_random_bis,8388608,8,14.161,13.193,14.490
P,2m,independent_random_bis,16777216,8,14.929,14.846,15.065
P,2m,independent_random_bis,33554432,8,16.772,16.531,17.299
P,2m,independent_random_bis,67108864,8,18.226,16.168,18.776
P,2m,independent_random_bis,134217728,8,19.530,19.164,20.150
P,2m,independent_random_bis,268435456,8,20.432,20.018,21.072
P,4k,chase_random,4096,8,2.904,2.584,3.190
P,4k,chase_random,8192,8,2.754,2.605,2.960
P,4k,chase_random,16384,8,2.878,2.659,4.461
P,4k,chase_random,32768,8,3.330,2.638,3.683
P,4k,chase_random,65536,8,4.963,4.593,6.548
P,4k,chase_random,131072,8,8.305,7.312,9.454
P,4k,chase_random,262144,8,11.948,10.156,12.597
P,4k,chase_random,524288,8,16.337,15.068,17.883
P,4k,chase_random,1048576,8,26.747,23.963,28.443
P,4k,chase_random,2097152,8,56.458,50.655,59.182
P,4k,chase_random,4194304,8,143.561,132.299,153.166
P,4k,chase_random,8388608,8,267.978,254.107,282.157
P,4k,chase_random,16777216,8,347.198,322.178,359.260
P,4k,chase_random,33554432,8,401.936,394.898,415.180
P,4k,chase_random,67108864,8,422.246,415.212,426.158
P,4k,chase_random,134217728,8,438.612,429.626,454.334
P,4k,chase_random,268435456,8,454.996,431.976,468.268
P,4k,chase_random_double,4096,8,2.646,2.606,3.098
P,4k,chase_random_double,8192,8,2.740,2.557,3.334
P,4k,chase_random_double,16384,8,2.717,2.563,3.134
P,4k,chase_random_double,32768,8,3.036,2.777,3.142
P,4k,chase_random_double,65536,8,4.610,4.396,4.757
P,4k,chase_random_double,131072,8,6.983,6.737,7.248
P,4k,chase_random_double,262144,8,9.757,8.599,10.312
P,4k,chase_random_double,524288,8,12.762,11.673,13.190
P,4k,chase_random_double,1048576,8,18.528,17.332,18.888
P,4k,chase_random_double,2097152,8,36.636,32.899,37.951
P,4k,chase_random_double,4194304,8,92.887,80.624,97.176
P,4k,chase_random_double,8388608,8,222.191,213.126,238.689
P,4k,chase_random_double,16777216,8,335.838,322.685,348.486
P,4k,chase_random_double,33554432,8,395.015,375.535,410.557
P,4k,chase_random_double,67108864,8,427.185,410.380,430.848
P,4k,chase_random_double,134217728,8,444.661,443.724,449.837
P,4k,chase_random_double,268435456,8,458.139,435.750,462.152
P,4k,chase_sequential,4096,8,2.783,2.655,2.974
P,4k,chase_sequential,8192,8,2.719,2.614,3.126
P,4k,chase_sequential,16384,8,2.856,2.761,3.053
P,4k,chase_sequential,32768,8,2.905,2.875,3.138
P,4k,chase_sequential,65536,8,2.737,2.617,3.170
P,4k,chase_sequential,131072,8,2.687,2.620,3.143
P,4k,chase_sequential,262144,8,2.952,2.744,3.061
P,4k,chase_sequential,524288,8,2.948,2.832,3.067
P,4k,chase_sequential,1048576,8,3.271,3.154,3.354
P,4k,chase_sequential,2097152,8,3.852,3.761,4.089
P,4k,chase_sequential,4194304,8,3.802,3.737,4.104
P,4k,chase_sequential,8388608,8,3.779,3.715,3.930
P,4k,chase_sequential,16777216,8,3.823,3.768,4.242
P,4k,chase_sequential,33554432,8,3.831,3.682,3.964
P,4k,chase_sequential,67108864,8,3.853,3.731,4.064
P,4k,chase_sequential,134217728,8,3.886,3.770,4.876
P,4k,chase_sequential,268435456,8,3.988,3.770,4.360
P,4k,independent_random,4096,8,1.407,1.303,1.633
P,4k,independent_random,8192,8,1.582,1.388,1.662
P,4k,independent_random,16384,8,1.478,1.394,1.965
P,4k,independent_random,32768,8,1.429,1.319,1.559
P,4k,independent_random,65536,8,1.400,1.363,1.431
P,4k,independent_random,131072,8,1.450,1.441,1.558
P,4k,independent_random,262144,8,1.583,1.427,1.713
P,4k,independent_random,524288,8,1.784,1.651,2.314
P,4k,independent_random,1048576,8,2.262,2.097,2.381
P,4k,independent_random,2097152,8,3.920,3.270,4.216
P,4k,independent_random,4194304,8,7.041,6.363,7.393
P,4k,independent_random,8388608,8,13.571,13.292,14.268
P,4k,independent_random,16777216,8,18.905,16.518,19.496
P,4k,independent_random,33554432,8,21.471,20.633,23.065
P,4k,independent_random,67108864,8,22.861,21.983,23.675
P,4k,independent_random,134217728,8,24.946,23.571,27.894
P,4k,independent_random,268435456,8,29.153,27.102,30.991
P,4k,independent_random_bis,4096,8,1.422,1.320,1.581
P,4k,independent_random_bis,8192,8,1.469,1.376,1.659
P,4k,independent_random_bis,16384,8,1.425,1.346,1.480
P,4k,independent_random_bis,32768,8,1.501,1.457,1.821
P,4k,independent_random_bis,65536,8,1.430,1.363,1.502
P,4k,independent_random_bis,131072,8,1.555,1.391,1.872
P,4k,independent_random_bis,262144,8,1.518,1.458,1.530
P,4k,independent_random_bis,524288,8,1.634,1.620,2.017
P,4k,independent_random_bis,1048576,8,2.191,1.981,2.572
P,4k,independent_random_bis,2097152,8,3.926,3.522,4.404
P,4k,independent_random_bis,4194304,8,6.931,6.251,7.671
P,4k,independent_random_bis,8388608,8,12.094,11.421,13.985
P,4k,independent_random_bis,16777216,8,17.797,17.433,19.353
P,4k,independent_random_bis,33554432,8,21.572,19.098,22.365
P,4k,independent_random_bis,67108864,8,24.123,23.414,24.524
P,4k,independent_random_bis,134217728,8,25.843,23.664,27.657
P,4k,independent_random_bis,268435456,8,27.623,24.625,30.001
