protocol,mode,run_id,seed,affinity,allowed_cpus,warmup_ops,warmup_rounds,sample,round,phase,position,variant,ops,calls_per_op,elapsed_ns,cpu_before,cpu_after,result
interleaved,interleaved,74,20260990,libre,22,0,10,107,35,measure,2,A_bis,20000,1,94980,6,6,14309920411748901123
interleaved,interleaved,74,20260990,libre,22,0,10,108,36,measure,0,A_bis,20000,1,94963,6,6,10299567504959595563
interleaved,interleaved,74,20260990,libre,22,0,10,109,36,measure,1,A,20000,1,97310,6,6,13966476783822176280
interleaved,interleaved,74,20260990,libre,22,0,10,110,36,measure,2,B,20000,2,189915,6,6,6736726020408561092
interleaved,interleaved,74,20260990,libre,22,0,10,111,37,measure,0,A,20000,1,98013,6,6,6795288094190729449
interleaved,interleaved,74,20260990,libre,22,0,10,112,37,measure,1,B,20000,2,189915,6,6,1544094665756999778
interleaved,interleaved,74,20260990,libre,22,0,10,113,37,measure,2,A_bis,20000,1,94954,6,6,9591213412661992686
interleaved,interleaved,74,20260990,libre,22,0,10,114,38,measure,0,A,20000,1,94962,6,6,750956347886500478
interleaved,interleaved,74,20260990,libre,22,0,10,115,38,measure,1,A_bis,20000,1,94974,6,6,3739614949975405364
interleaved,interleaved,74,20260990,libre,22,0,10,116,38,measure,2,B,20000,2,189927,6,6,1335428948516994772
interleaved,interleaved,74,20260990,libre,22,0,10,117,39,measure,0,B,20000,2,189920,6,6,7520440771899610201
interleaved,interleaved,74,20260990,libre,22,0,10,118,39,measure,1,A_bis,20000,1,98185,6,6,13288402828320965128
interleaved,interleaved,74,20260990,libre,22,0,10,119,39,measure,2,A,20000,1,94976,6,6,8435377532569171644
interleaved,interleaved,74,20260990,libre,22,0,10,120,40,measure,0,A,20000,1,94970,6,6,7294118966028707640
interleaved,interleaved,74,20260990,libre,22,0,10,121,40,measure,1,A_bis,20000,1,94967,6,6,2580054182254715781
interleaved,interleaved,74,20260990,libre,22,0,10,122,40,measure,2,B,20000,2,191703,6,6,13695232973049814287
interleaved,interleaved,74,20260990,libre,22,0,10,123,41,measure,0,A_bis,20000,1,94967,6,6,3194556168958533553
interleaved,interleaved,74,20260990,libre,22,0,10,124,41,measure,1,A,20000,1,95368,6,6,11738157172203043914
interleaved,interleaved,74,20260990,libre,22,0,10,125,41,measure,2,B,20000,2,189918,6,6,12349373396305871721
interleaved,interleaved,74,20260990,libre,22,0,10,126,42,measure,0,B,20000,2,193919,6,6,9286449882640273620
interleaved,interleaved,74,20260990,libre,22,0,10,127,42,measure,1,A_bis,20000,1,94988,6,6,16817015297158684225
interleaved,interleaved,74,20260990,libre,22,0,10,128,42,measure,2,A,20000,1,95138,6,6,14875977081390684151
interleaved,interleaved,74,20260990,libre,22,0,10,129,43,measure,0,A,20000,1,90220,6,6,15739559721584891879
interleaved,interleaved,74,20260990,libre,22,0,10,130,43,measure,1,B,20000,2,180433,6,6,14396949177573237101
interleaved,interleaved,74,20260990,libre,22,0,10,131,43,measure,2,A_bis,20000,1,90221,6,6,16978964155056715119
interleaved,interleaved,74,20260990,libre,22,0,10,132,44,measure,0,A_bis,20000,1,90231,6,6,13493268275039014787
interleaved,interleaved,74,20260990,libre,22,0,10,133,44,measure,1,A,20000,1,90222,6,6,8753668603302773591
interleaved,interleaved,74,20260990,libre,22,0,10,134,44,measure,2,B,20000,2,187060,6,6,7759030447476190943
